fecha_proceso,linea,curso,modulo,url,estado,nombre_bloque
2026-03-27 05:27:03,Diplomados,ANCESTROS Y RAICES,1,https://video.wixstatic.com/video/4ea8bc_641ce1fd1a49471b955a4aa44ec65bc6/720p/mp4/file.mp4,listo,diplomados__ancestros_y_raices__modulo_1
2026-03-27 05:37:38,Diplomados,ANCESTROS Y RAICES,2,https://video.wixstatic.com/video/4ea8bc_4a1e2f55b3864300b8df1d45077792c0/720p/mp4/file.mp4,listo,diplomados__ancestros_y_raices__modulo_2
2026-03-27 05:43:07,Diplomados,ANCESTROS Y RAICES,3,https://video.wixstatic.com/video/4ea8bc_a7e750f3a0414a69a2d03df6f3484ad6/720p/mp4/file.mp4,listo,diplomados__ancestros_y_raices__modulo_3
2026-03-27 05:50:01,Diplomados,ANCESTROS Y RAICES,4,https://video.wixstatic.com/video/4ea8bc_6a267e3539404775a1940a1b2c1ced74/720p/mp4/file.mp4,listo,diplomados__ancestros_y_raices__modulo_4
2026-03-27 05:54:19,Diplomados,ANCESTROS Y RAICES,5,https://video.wixstatic.com/video/4ea8bc_7b3f0794fcb14d81a2f7de18467bf7a9/720p/mp4/file.mp4,listo,diplomados__ancestros_y_raices__modulo_5
2026-03-27 05:57:19,Diplomados,ANCESTROS Y RAICES,6,https://video.wixstatic.com/video/4ea8bc_d1f3c88e3c6747c5b16755657f57192f/720p/mp4/file.mp4,listo,diplomados__ancestros_y_raices__modulo_6
2026-03-27 06:03:02,Diplomados,ANCESTROS Y RAICES,7,https://video.wixstatic.com/video/4ea8bc_3b0da093ca92445693606cefeefe92d0/720p/mp4/file.mp4,listo,diplomados__ancestros_y_raices__modulo_7
2026-03-27 06:08:30,Diplomados,ANCESTROS Y RAICES,8,https://video.wixstatic.com/video/4ea8bc_58cd0e056da14c4c94e22d54b75c18df/720p/mp4/file.mp4,listo,diplomados__ancestros_y_raices__modulo_8
2026-03-27 06:12:48,Diplomados,ANCESTROS Y RAICES,9,https://video.wixstatic.com/video/4ea8bc_25b5425ff10d4084aa19b65b4b54716f/720p/mp4/file.mp4,listo,diplomados__ancestros_y_raices__modulo_9
2026-03-27 06:15:49,Diplomados,ANCESTROS Y RAICES,10,https://video.wixstatic.com/video/4ea8bc_5f2d1f78ac0e4ecab324115c6f1ba383/720p/mp4/file.mp4,listo,diplomados__ancestros_y_raices__modulo_10
2026-03-27 06:21:22,Diplomados,ANCESTROS Y RAICES,11,https://video.wixstatic.com/video/4ea8bc_baf3c68745524d42961b333d4bc1577a/720p/mp4/file.mp4,listo,diplomados__ancestros_y_raices__modulo_11
2026-03-27 06:27:01,Diplomados,ANCESTROS Y RAICES,12,https://video.wixstatic.com/video/4ea8bc_3f9e3172c11a4e23bce820c2b2277dfb/720p/mp4/file.mp4,listo,diplomados__ancestros_y_raices__modulo_12
2026-03-27 06:32:41,Diplomados,ANCESTROS Y RAICES,13,https://video.wixstatic.com/video/4ea8bc_c21cdcf3026c45cd84b7ecb916523473/720p/mp4/file.mp4,listo,diplomados__ancestros_y_raices__modulo_13
2026-03-27 06:36:24,Diplomados,ANCESTROS Y RAICES,14,https://video.wixstatic.com/video/4ea8bc_2079ad757407432e8ac8dce01b92af58/720p/mp4/file.mp4,listo,diplomados__ancestros_y_raices__modulo_14
2026-03-27 06:41:11,Diplomados,ANCESTROS Y RAICES,15,https://video.wixstatic.com/video/4ea8bc_016e43975c3540e89c4d154b231ab9e5/720p/mp4/file.mp4,listo,diplomados__ancestros_y_raices__modulo_15
2026-03-27 06:47:19,Diplomados,ANCESTROS Y RAICES,16,https://video.wixstatic.com/video/4ea8bc_018fef087c84422aa60d0e8db7be07ce/720p/mp4/file.mp4,listo,diplomados__ancestros_y_raices__modulo_16
2026-03-27 06:52:35,Diplomados,ANCESTROS Y RAICES,17,https://video.wixstatic.com/video/4ea8bc_e29847b8ba4e49c085f784f24b9da5eb/720p/mp4/file.mp4,listo,diplomados__ancestros_y_raices__modulo_17
2026-03-27 06:56:29,Diplomados,ANCESTROS Y RAICES,18,https://video.wixstatic.com/video/4ea8bc_d2a5bdb44eb142c58ecb0a12ef7c2213/720p/mp4/file.mp4,listo,diplomados__ancestros_y_raices__modulo_18
2026-03-27 07:01:29,Diplomados,ANCESTROS Y RAICES,19,https://video.wixstatic.com/video/4ea8bc_8b865b2a7f81456abf0b565250c54121/720p/mp4/file.mp4,listo,diplomados__ancestros_y_raices__modulo_19
