bloque_master_num,bloque_master_label,db_region,db_zona,db_bloque,par,punto_a_negro,punto_b_rojo,tipo,patogeno,enfermedades,variante_visual,requiere_diagonal,zona_sensible,cobertura_anatomica,vista_anatomica,fuente_principal,fuente_secundaria,estado,numero_asignado,archivo_propuesto,archivo_existente
1,CABEZA,Cabeza,Coronilla,Pineal,Pineal - Pineal,Pineal,Pineal,Disfunción,pineal,,Mismo punto simple (un marcador),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,107,107_Pineal_Pineal.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Pineal - Bulbo,Pineal,Bulbo,Virus,,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,108,108_Pineal_Bulbo.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Pineal - Cerebelo,Pineal,Cerebelo,Especial/Disfunción,Espe cial,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,109,109_Pineal_Cerebelo.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Pineal - Próstata,Pineal,Próstata,,,,Par normal (dos puntos distintos),SÍ,SÍ,Licra negra ajustada + top negro si aplica · Sin desnudez · Estilo médico sobrio,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,110,110_Pineal_Prostata.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Pineal - Útero,Pineal,Útero,Emocional/Psicoemocional,,,Par normal (dos puntos distintos),SÍ,SÍ,Licra negra ajustada + top negro si aplica · Sin desnudez · Estilo médico sobrio,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,111,111_Pineal_Utero.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Pineal - Páncreas,Pineal,Páncreas,Emocional/Psicoemocional,,,Par normal (dos puntos distintos),SÍ,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,112,112_Pineal_Pancreas.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Pineal - Hipotálamo,Pineal,Hipotálamo,,,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,113,113_Pineal_Hipotalamo.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Pineal - Tiroides,Pineal,Tiroides,Sin clasificar,,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,114,114_Pineal_Tiroides.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Bulbo Raquídeo - Pineal,Bulbo Raquídeo,Pineal,Virus,Guilli anBarré,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,115,115_Bulbo_Raquideo_Pineal.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Pineal - Bulbo Raquídeo,Pineal,Bulbo Raquídeo,Virus,Guilli anBarré,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,116,116_Pineal_Bulbo_Raquideo.png,
