fecha_proceso,linea,curso,modulo,url,estado,nombre_bloque
2026-03-27 03:15:31,Diplomados,SANACION ENERGETICA INTEGRAL,1,https://video.wixstatic.com/video/4ea8bc_8fd29008d9814bfc910be69d4ffb734f/720p/mp4/file.mp4,listo,diplomados__sanacion_energetica_integral__modulo_1
2026-03-27 03:19:22,Diplomados,SANACION ENERGETICA INTEGRAL,2,https://video.wixstatic.com/video/4ea8bc_2b56c6ea92b34a4c9b2b5ec01bb42ea5/720p/mp4/file.mp4,listo,diplomados__sanacion_energetica_integral__modulo_2
2026-03-27 03:24:38,Diplomados,SANACION ENERGETICA INTEGRAL,3,https://video.wixstatic.com/video/4ea8bc_2e7b10539b5f443b864cab09c300837f/720p/mp4/file.mp4,listo,diplomados__sanacion_energetica_integral__modulo_3
2026-03-27 03:28:53,Diplomados,SANACION ENERGETICA INTEGRAL,4,https://video.wixstatic.com/video/4ea8bc_2a9a8e0f447d475bb8b3995a2cb06dc2/720p/mp4/file.mp4,listo,diplomados__sanacion_energetica_integral__modulo_4
2026-03-27 03:32:29,Diplomados,SANACION ENERGETICA INTEGRAL,5,https://video.wixstatic.com/video/4ea8bc_f569b260e9754a958cd4c2ab9fe3ef2f/720p/mp4/file.mp4,listo,diplomados__sanacion_energetica_integral__modulo_5
2026-03-27 03:36:37,Diplomados,SANACION ENERGETICA INTEGRAL,6,https://video.wixstatic.com/video/4ea8bc_3b0213ec1c5e44f29d90b222bb41b824/1080p/mp4/file.mp4,listo,diplomados__sanacion_energetica_integral__modulo_6
2026-03-27 03:41:17,Diplomados,SANACION ENERGETICA INTEGRAL,7,https://video.wixstatic.com/video/4ea8bc_f0cb9bfa8a5a4cb3bed584e55b1784d2/720p/mp4/file.mp4,listo,diplomados__sanacion_energetica_integral__modulo_7
2026-03-27 03:45:21,Diplomados,SANACION ENERGETICA INTEGRAL,8,https://video.wixstatic.com/video/4ea8bc_ef4200e2b68041f2887d4423f505dcab/720p/mp4/file.mp4,listo,diplomados__sanacion_energetica_integral__modulo_8
2026-03-27 03:49:02,Diplomados,SANACION ENERGETICA INTEGRAL,9,https://video.wixstatic.com/video/4ea8bc_ba6eae6c04c34256a5bfa528db141f12/720p/mp4/file.mp4,listo,diplomados__sanacion_energetica_integral__modulo_9
2026-03-27 03:56:48,Diplomados,SANACION ENERGETICA INTEGRAL,10,https://video.wixstatic.com/video/4ea8bc_cbb55669445a4d51ac2545d635a8d72e/720p/mp4/file.mp4,listo,diplomados__sanacion_energetica_integral__modulo_10
